armas,krp,hs,chest,Leg,total_kills
AK-47,1.2,17.80%,59.40%,16.70%,"370,567"
M4A1-S,1.1,14.60%,60.30%,18.30%,"181,934"
AWP,1.6,14.50%,68.70%,10.10%,"164,754"
M4A1,1.2,18.00%,60.60%,15.50%,"104,012"
USP-S,0.9,21.20%,63.50%,10.50%,"94,958"
Desert Eagle,0.9,28.50%,58.70%,9.00%,"84,197"
Glock-18,0.9,17.80%,65.50%,11.80%,"83,899"
Galil AR,1.1,18.10%,57.60%,18.40%,"63,215"
FAMAS,1,18.90%,58.70%,16.90%,"50,834"
P90,1,10.00%,58.30%,24.10%,"27,907"
SG 553,1.2,13.80%,59.70%,18.80%,"27,572"
MP9,0.8,12.50%,62.40%,18.10%,"25,846"
AUG,1.3,12.70%,61.40%,18.50%,"25,335"
MAC-10,0.8,11.40%,60.30%,21.20%,"20,285"
MP7,1,9.00%,59.10%,24.00%,"15,535"
P250,0.7,18.20%,63.30%,13.00%,"12,575"
Tec-9,0.8,14.90%,63.20%,15.60%,"11,796"
XM1014,1,10.90%,59.30%,22.00%,"10,428"
G3SG1,1.9,15.10%,61.30%,15.50%,"9,289"
P2000,0.8,13.90%,67.00%,13.30%,"8,306"
